registration_number, full_name, course_code, course_name
REG-084, Nyanda Mkandawile, BAEd, Bachelor of Arts with Education
REG-085, Faustine Kachoka, BsChem, Bachelor of Science in Chemistry
REG-086, Benson Ngamba, BsCS, Bachelor of Science in Computer Science
REG-087, Gloria Muhumbo, BsMathStat, Bachelor of Science in Mathematics and Statistics
REG-088, Debora Chirwa, BsEd, Bachelor Science with Education
REG-089, Anna Lutabingwa, BsBio, Bachelor of Science in Applied Biology
REG-090, Cleven Malemba, BAccFin, Bachelor of Accounting and Finance
REG-091, Neema Pembe, BProcSCM, Bachelor of Procurement and Supply Chain Management
REG-092, Faustine Kabambi, BAProjMgmt, Bachelor of Arts in Project Planning and Management
REG-093, Anyes Mwaka, BABusAdmin, Bachelor of Arts in Business Administration Management
REG-094, Jackson Kibona, BASW-HR, Bachelor of Arts in Social Work and Human Rights
REG-095, Victor Juma, LLB, Bachelor of Laws
REG-096, Loveness Kijazi, BASocSW, Bachelor of Arts in Sociology and Social Work
REG-097, Benson Kiponda, BAGeoEnv, Bachelor of Arts in Geography and Environmental Studies
REG-098, Anna Kimweri, BAEd, Bachelor of Arts with Education
REG-099, Cleven Makoti, BsChem, Bachelor of Science in Chemistry
REG-100, Laureen Lyimo, BsCS, Bachelor of Science in Computer Science
